horizon,trader,n_events,symbols,qty,mean_edge,hit_rate,pvalue_signflip
100,Mark 01,1843,7,7428.0,0.04557786218122626,0.149755832881172,0.0013328890369876708
100,Mark 14,2172,7,8718.0,0.027394106813996316,0.3775322283609576,0.4478507164278574
100,Mark 22,1584,12,5889.0,-0.14646464646464646,0.08964646464646464,0.0003332222592469177
100,Mark 38,1478,7,5000.0,-0.029093369418132613,0.3876860622462788,0.5658113962012662
100,Mark 49,122,1,1186.0,-1.8114754098360655,0.03278688524590164,0.0003332222592469177
100,Mark 55,1198,1,6551.0,0.022954924874791317,0.38647746243739567,0.5041652782405864
100,Mark 67,165,1,1510.0,1.9696969696969697,0.9575757575757575,0.0003332222592469177
300,Mark 01,1843,7,7428.0,0.02930005425935974,0.16820401519262074,0.20093302232589136
300,Mark 14,2172,7,8718.0,0.0177255985267035,0.4171270718232044,0.7384205264911696
300,Mark 22,1584,12,5889.0,-0.12468434343434344,0.12121212121212122,0.0003332222592469177
300,Mark 38,1478,7,5000.0,-0.02943166441136671,0.43775372124492556,0.6934355214928357
300,Mark 49,122,1,1186.0,-1.848360655737705,0.10655737704918032,0.0003332222592469177
300,Mark 55,1198,1,6551.0,0.04006677796327212,0.42237061769616024,0.42285904698433857
300,Mark 67,165,1,1510.0,1.9757575757575758,0.9030303030303031,0.0003332222592469177
500,Mark 01,1843,7,7428.0,0.024416711882799782,0.187194791101465,0.3762079306897701
500,Mark 14,2172,7,8718.0,-0.030847145488029467,0.4148250460405157,0.6814395201599467
500,Mark 22,1584,12,5889.0,-0.11047979797979798,0.13446969696969696,0.0003332222592469177
500,Mark 38,1478,7,5000.0,0.006765899864682003,0.4654939106901218,0.955348217260913
500,Mark 49,122,1,1186.0,-1.819672131147541,0.13934426229508196,0.0003332222592469177
500,Mark 55,1198,1,6551.0,0.07345575959933222,0.44156928213689484,0.2425858047317561
500,Mark 67,165,1,1510.0,1.9454545454545455,0.8303030303030303,0.0003332222592469177
1000,Mark 01,1843,7,7428.0,0.06619641888225719,0.20618556701030927,0.0789736754415195
1000,Mark 14,2172,7,8718.0,-0.007366482504604052,0.43830570902394106,0.9466844385204932
1000,Mark 22,1584,12,5889.0,-0.12026515151515152,0.15467171717171718,0.0006664445184938354
1000,Mark 38,1478,7,5000.0,-0.039918809201623814,0.4688768606224628,0.76541152949017
1000,Mark 49,122,1,1186.0,-2.1188524590163933,0.18032786885245902,0.0003332222592469177
1000,Mark 55,1198,1,6551.0,0.02671118530884808,0.4749582637729549,0.7474175274908363
1000,Mark 67,165,1,1510.0,2.242424242424242,0.7575757575757576,0.0003332222592469177
